customer_id,account_type,account_balance,date_of_account_opening,last_transaction_date,branch_id
1,savings,1313.38,2006-05-26,2023-04-23,43
2,current,5988.46,2006-03-02,2023-01-27,63
3,current,8277.88,2015-07-19,2023-01-01,82
4,savings,7487.21,2008-01-30,2023-08-02,41
5,savings,6993.55,2021-05-25,2023-03-27,9
6,savings,9295.64,2015-12-21,2023-06-04,20
7,current,4005.72,2022-07-07,2023-03-21,21
8,savings,1458.45,2022-12-14,2023-03-01,25
9,current,1109.3,2012-04-29,2023-11-05,66
10,current,9554.62,2021-12-20,2023-02-05,30
11,savings,5930.75,2015-08-12,2023-10-18,72
12,current,8126.85,2005-09-13,2023-10-16,25
13,savings,5402.04,2010-11-13,2023-11-21,94
14,savings,4045.09,2014-08-14,2023-12-29,30
15,savings,2082.67,2015-09-16,2023-06-24,77
16,savings,8578.44,2016-10-02,2023-12-20,31
17,current,728.8,2006-07-07,2023-12-18,96
18,savings,9012.31,2019-08-12,2023-03-30,36
19,current,2129.63,2005-08-18,2023-02-28,41
20,savings,194.36,2017-04-24,2023-03-02,61
21,savings,1128.58,2016-10-29,2023-08-30,29
22,current,8846.74,2005-01-01,2023-10-10,34
23,savings,829.7,2011-09-02,2023-08-13,19
24,savings,3616.88,2014-10-07,2023-08-10,90
25,savings,2578.13,2004-06-04,2023-03-31,5
26,current,464.86,2022-10-01,2023-01-15,20
27,savings,5361.52,2006-07-27,2023-12-31,78
28,savings,9983.5,2018-08-10,2023-07-04,29
29,savings,8544.77,2000-11-12,2023-07-23,3
30,current,1772.04,2015-02-12,2023-02-10,84
31,current,8854.73,2004-09-15,2023-06-20,25
32,current,4572.76,2010-05-04,2023-09-25,69
33,current,2805.18,2003-07-30,2023-07-15,55
34,savings,6439.03,2005-08-23,2023-09-07,56
35,current,2245.28,2002-01-05,2023-07-14,29
36,current,8808.55,2009-07-08,2023-08-18,41
37,current,6279.42,2008-07-28,2023-04-06,2
38,current,1446.62,2002-05-16,2023-08-06,6
39,savings,5749.42,2008-07-20,2023-01-04,59
40,savings,5152.67,2020-01-13,2023-01-05,65
41,current,4767.41,2018-08-13,2023-02-15,31
42,current,3713.26,2015-10-29,2023-11-27,91
43,current,4794.63,2006-06-23,2023-05-06,46
44,current,5901.51,2010-03-21,2023-05-17,60
45,savings,7362.34,2001-05-03,2023-05-16,46
46,savings,9186.97,2005-06-02,2023-11-10,19
47,current,539.4,2005-12-11,2023-12-25,1
48,current,5736.51,2012-06-20,2023-11-15,95
49,current,7544.54,2021-01-30,2023-07-08,18
50,current,1243.99,2022-03-02,2023-05-23,7
51,current,9123.83,2021-09-07,2023-03-14,32
52,current,2525.4,2015-10-25,2023-06-27,99
53,current,8349.99,2020-06-03,2023-12-16,96
54,savings,6653.87,2014-05-28,2023-08-14,59
55,savings,5639.51,2013-01-24,2023-10-05,65
56,savings,8705.5,2007-05-17,2023-08-26,97
57,current,9695.42,2022-11-30,2023-04-04,12
58,savings,9971.6,2021-02-16,2023-11-26,45
59,current,6864.48,2012-09-05,2023-07-16,24
60,current,3457.4,2004-08-22,2023-03-05,54
61,current,8759.52,2009-01-06,2023-05-30,4
62,savings,6578.05,2004-06-25,2023-05-21,79
63,savings,3300.96,2007-12-15,2023-08-19,96
64,savings,9330.41,2012-11-09,2023-09-02,24
65,savings,7501.74,2009-07-17,2023-10-30,23
66,savings,4583.0,2020-02-11,2023-12-13,89
67,savings,4599.46,2016-10-04,2023-10-04,49
68,savings,9959.69,2022-02-06,2023-01-31,90
69,savings,3799.72,2013-06-19,2023-02-07,21
70,current,1031.4,2020-05-29,2023-02-08,70
71,savings,5431.76,2020-04-11,2023-06-13,22
72,savings,8860.06,2002-12-25,2023-12-22,75
73,savings,5886.75,2018-10-12,2023-09-24,37
74,current,7951.57,2010-09-29,2023-03-10,30
75,savings,643.16,2016-09-23,2023-10-17,31
76,current,6766.61,2005-01-01,2023-08-17,33
77,savings,884.02,2019-03-21,2023-09-18,76
78,savings,5607.93,2013-10-15,2023-01-20,27
79,current,5027.9,2014-11-04,2023-03-04,78
80,current,9461.48,2002-02-24,2023-10-28,58
81,current,1411.4,2018-10-06,2023-06-19,1
82,current,193.96,2010-10-11,2023-01-13,64
83,savings,1459.81,2008-05-16,2023-05-17,72
84,current,1789.99,2015-07-06,2023-08-12,72
85,current,2584.02,2010-01-10,2023-04-04,93
86,current,8169.38,2018-06-02,2023-06-26,26
87,savings,3831.12,2013-04-12,2023-12-14,90
88,current,8423.5,2015-10-19,2023-12-23,49
89,savings,2792.15,2021-07-02,2023-06-05,84
90,savings,8619.36,2022-06-22,2023-05-01,44
91,current,180.1,2016-11-25,2023-06-20,43
92,savings,9351.9,2022-03-12,2023-07-17,49
93,savings,7485.89,2002-11-29,2023-06-18,52
94,savings,4186.03,2002-07-04,2023-06-21,71
95,savings,5815.62,2004-08-18,2023-06-06,32
96,current,9336.87,2016-12-24,2023-11-20,55
97,current,5867.35,2008-03-24,2023-07-29,18
98,savings,2362.83,2013-12-21,2023-10-08,86
99,current,5771.45,2009-04-24,2023-07-15,59
100,current,8727.33,2004-10-15,2023-09-27,29
101,savings,9875.75,2020-05-05,2023-07-06,32
102,savings,5882.42,2003-10-09,2023-03-03,54
103,savings,1640.89,2021-06-30,2023-05-25,84
104,current,7740.35,2006-06-24,2023-08-14,31
105,savings,9969.42,2013-03-09,2023-04-27,43
106,current,4789.0,2002-12-04,2023-07-25,41
107,savings,3898.95,2021-12-03,2023-12-22,8
108,current,5569.76,2006-08-06,2023-03-07,43
109,current,1731.19,2018-11-27,2023-10-28,51
110,savings,9715.71,2015-04-12,2023-11-23,8
111,savings,8399.51,2011-03-26,2023-01-28,9
112,savings,1218.61,2014-09-22,2023-11-11,78
113,savings,9456.31,2017-01-22,2023-09-21,46
114,savings,9433.91,2012-09-11,2023-08-09,33
115,current,3231.91,2015-01-01,2023-01-10,58
116,savings,6229.51,2013-11-24,2023-10-04,79
117,savings,1196.47,2001-01-03,2023-10-18,94
118,savings,933.49,2014-01-13,2023-01-04,94
119,savings,5067.77,2013-01-26,2023-06-30,31
120,savings,591.81,2006-08-30,2023-03-26,69
121,savings,8761.43,2013-01-30,2023-01-25,83
122,current,9288.14,2001-01-30,2023-01-20,48
123,savings,766.33,2001-06-23,2023-07-18,11
124,current,568.12,2007-04-21,2023-07-18,74
125,savings,2292.04,2003-03-16,2023-04-06,33
126,savings,9306.59,2003-07-31,2023-04-06,61
127,savings,7713.24,2018-06-06,2023-10-05,88
128,current,6797.33,2010-01-23,2023-02-18,15
129,savings,7785.84,2004-03-10,2023-03-30,29
130,current,2074.82,2004-02-06,2023-01-06,27
131,current,2640.22,2010-06-10,2023-05-26,20
132,savings,3244.52,2007-07-20,2023-01-12,36
133,savings,6090.15,2012-10-15,2023-01-28,14
134,savings,6121.38,2013-09-09,2023-10-02,37
135,savings,2165.22,2005-06-16,2023-02-12,88
136,current,4423.6,2001-06-05,2023-04-09,49
137,current,6931.2,2008-02-23,2023-05-23,36
138,savings,3165.23,2020-07-07,2023-10-19,58
139,current,847.22,2020-11-05,2023-04-07,93
140,savings,2054.16,2016-01-21,2023-03-26,15
141,current,1730.88,2013-04-04,2023-10-25,39
142,savings,6356.23,2003-03-02,2023-04-01,5
143,savings,778.63,2021-05-02,2023-10-28,97
144,current,8859.02,2001-10-15,2023-01-30,45
145,current,935.43,2007-02-21,2023-10-22,1
146,current,6019.31,2013-05-06,2023-06-23,47
147,savings,9302.37,2022-11-11,2023-07-05,34
148,current,717.99,2019-06-15,2023-01-30,8
149,savings,3892.74,2000-05-17,2023-09-08,88
150,savings,3346.66,2001-06-16,2023-04-19,54
151,savings,3507.67,2009-03-27,2023-08-01,87
152,savings,6043.08,2018-10-31,2023-08-06,60
153,current,2694.82,2008-08-11,2023-12-10,77
154,savings,370.5,2018-04-11,2023-07-01,37
155,savings,9626.52,2006-05-13,2023-12-08,46
156,savings,7512.88,2016-07-04,2023-02-06,18
157,current,1437.76,2011-05-27,2023-12-12,10
158,current,4606.05,2003-03-21,2023-05-30,68
159,current,720.95,2001-12-20,2023-04-07,71
160,savings,375.78,2009-10-11,2023-01-24,86
161,current,570.37,2015-12-27,2023-11-21,76
162,current,7582.2,2000-06-28,2023-12-10,24
