customer_id,feedback_id,feedback_date,feedback_type,resolution_status,resolution_date,anomaly
1,1,2023-10-06,Suggestion,Resolved,2023-01-22,1
2,2,2023-04-07,Complaint,Resolved,2023-08-27,1
3,3,2023-09-07,Praise,Pending,2023-05-11,1
4,4,2023-05-28,Complaint,Resolved,2023-07-05,1
5,5,2023-02-12,Complaint,Resolved,2023-11-21,1
6,6,2023-08-06,Praise,Resolved,2023-07-23,1
7,7,2023-08-20,Complaint,Pending,2023-07-31,1
8,8,2023-08-30,Complaint,Pending,2023-12-19,1
9,9,2023-02-10,Suggestion,Pending,2023-07-12,-1
10,10,2023-10-20,Complaint,Resolved,2023-04-30,1
11,11,2023-05-01,Complaint,Pending,2023-09-19,1
12,12,2023-08-24,Complaint,Pending,2023-05-03,1
13,13,2023-02-22,Praise,Resolved,2023-01-13,1
14,14,2023-11-16,Praise,Resolved,2023-05-05,1
15,15,2023-10-26,Suggestion,Pending,2023-09-23,1
16,16,2023-11-25,Complaint,Pending,2023-05-23,1
17,17,2023-05-31,Suggestion,Pending,2023-05-01,1
18,18,2023-02-23,Praise,Resolved,2023-06-03,1
19,19,2023-07-19,Praise,Resolved,2023-03-07,1
20,20,2023-04-22,Praise,Pending,2023-10-04,1
21,21,2023-11-20,Complaint,Pending,2023-09-07,1
22,22,2023-08-07,Complaint,Pending,2023-12-10,-1
23,23,2023-02-20,Complaint,Resolved,2023-10-04,1
24,24,2023-10-04,Suggestion,Resolved,2023-12-10,1
25,25,2023-01-22,Praise,Resolved,2023-03-01,1
26,26,2023-02-17,Complaint,Pending,2023-04-14,1
27,27,2023-12-15,Suggestion,Pending,2023-08-20,1
28,28,2023-12-21,Complaint,Pending,2023-02-23,1
29,29,2023-01-23,Suggestion,Pending,2023-06-10,1
30,30,2023-01-06,Suggestion,Resolved,2023-09-12,1
31,31,2023-05-12,Praise,Pending,2023-06-05,1
32,32,2023-08-16,Praise,Resolved,2023-08-25,1
33,33,2023-05-09,Complaint,Resolved,2023-07-25,1
34,34,2023-07-22,Complaint,Resolved,2023-02-11,1
35,35,2023-06-26,Praise,Resolved,2023-01-29,1
36,36,2023-01-17,Complaint,Pending,2023-11-14,1
37,37,2023-10-31,Suggestion,Resolved,2023-01-03,1
38,38,2023-02-26,Praise,Resolved,2023-06-03,1
39,39,2023-11-28,Praise,Resolved,2023-01-24,1
40,40,2023-04-29,Praise,Resolved,2023-01-14,1
41,41,2023-05-30,Complaint,Pending,2023-03-16,1
42,42,2023-05-24,Complaint,Pending,2023-03-09,1
43,43,2023-05-26,Praise,Resolved,2023-11-19,1
44,44,2023-11-14,Complaint,Resolved,2023-08-18,1
45,45,2023-12-28,Praise,Resolved,2023-07-06,1
46,46,2023-04-12,Praise,Pending,2023-08-31,1
47,47,2023-08-21,Suggestion,Resolved,2023-01-01,1
48,48,2023-12-29,Suggestion,Resolved,2023-07-25,1
49,49,2023-02-02,Suggestion,Resolved,2023-03-18,1
50,50,2023-10-04,Praise,Resolved,2023-02-04,1
51,51,2023-09-30,Suggestion,Resolved,2023-12-11,-1
52,52,2023-06-15,Complaint,Pending,2023-06-22,1
53,53,2023-04-14,Praise,Pending,2023-12-07,1
54,54,2023-11-17,Praise,Resolved,,1
55,55,2023-03-31,Praise,Pending,2023-10-10,1
56,56,2023-03-03,Praise,Resolved,2023-10-04,1
57,57,2023-11-12,Suggestion,Resolved,,1
58,58,2023-04-21,Suggestion,Pending,2023-12-04,1
59,59,2023-03-04,Praise,Resolved,2023-05-05,1
60,60,2023-04-08,Praise,Resolved,2023-12-16,-1
61,61,2023-10-11,Praise,Resolved,2023-01-02,1
62,62,2023-05-16,Praise,Resolved,2023-08-31,1
63,63,2023-12-25,Praise,Pending,2023-08-15,-1
64,64,2023-07-21,Suggestion,Pending,2023-01-30,1
65,65,2023-07-30,Praise,Pending,2023-12-03,1
66,66,2023-07-09,Complaint,Resolved,2023-02-21,1
67,67,2023-01-10,Praise,Pending,2023-04-25,1
68,68,2023-02-21,Praise,Resolved,2023-09-09,-1
69,69,2023-02-09,Suggestion,Resolved,2023-05-21,1
70,70,2023-11-26,Complaint,Resolved,2023-12-19,1
71,71,2023-03-02,Suggestion,Resolved,2023-05-23,1
72,72,2023-11-07,Complaint,Resolved,2023-09-06,1
73,73,2023-09-01,Complaint,Resolved,2023-05-03,1
74,74,2023-04-23,Praise,Pending,2023-07-22,1
75,75,2023-06-24,Suggestion,Pending,2023-05-19,-1
76,76,2023-10-11,Suggestion,Resolved,,1
77,77,2023-08-02,Praise,Pending,2023-05-29,1
78,78,2023-10-04,Suggestion,Resolved,2023-09-11,1
79,79,2023-04-15,Praise,Resolved,2023-08-22,1
80,80,2023-10-20,Praise,Pending,2023-06-16,1
81,81,2023-06-17,Complaint,Resolved,2023-12-16,1
82,82,2023-05-06,Complaint,Resolved,2023-04-04,1
83,83,2023-08-13,Praise,Resolved,2023-03-19,1
84,84,2023-10-30,Complaint,Pending,2023-07-11,1
85,85,2023-03-04,Praise,Resolved,2023-04-13,1
86,86,2023-08-23,Suggestion,Resolved,2023-03-18,1
87,87,2023-07-02,Complaint,Pending,2023-02-24,1
88,88,2023-07-07,Complaint,Pending,2023-03-19,1
89,89,2023-03-03,Praise,Pending,2023-02-19,1
90,90,2023-08-01,Suggestion,Resolved,2023-08-25,1
91,91,2023-02-24,Complaint,Pending,2023-04-08,1
92,92,2023-01-03,Complaint,Pending,2023-05-11,1
93,93,2023-09-29,Praise,Pending,2023-08-18,1
94,94,2023-02-22,Suggestion,Resolved,,1
95,95,2023-02-24,Praise,Resolved,,1
96,96,2023-11-12,Complaint,Resolved,2023-04-26,1
97,97,2023-02-24,Suggestion,Resolved,2023-07-25,1
98,98,2023-05-26,Praise,Resolved,2023-06-23,1
99,99,2023-09-17,Suggestion,Pending,2023-02-10,1
100,100,2023-08-22,Praise,Resolved,2023-03-31,1
101,101,2023-05-17,Complaint,Pending,2023-12-17,1
102,102,2023-01-07,Praise,Resolved,,1
103,103,2023-02-25,Complaint,Pending,2023-07-09,1
104,104,2023-07-07,Complaint,Pending,2023-04-28,1
105,105,2023-10-13,Praise,Pending,2023-06-05,1
106,106,2023-01-19,Suggestion,Resolved,2023-09-20,1
107,107,2023-02-27,Complaint,Pending,2023-02-11,1
108,108,2023-12-11,Praise,Resolved,,1
109,109,2023-04-11,Suggestion,Pending,2023-08-01,1
110,110,2023-04-29,Suggestion,Pending,2023-11-04,1
111,111,2023-05-04,Suggestion,Pending,2023-12-14,1
112,112,2023-10-09,Praise,Pending,2023-09-26,1
113,113,2023-08-18,Praise,Pending,2023-12-08,1
114,114,2023-10-18,Suggestion,Resolved,2023-04-14,1
115,115,2023-06-26,Praise,Pending,2023-10-28,1
116,116,2023-03-21,Suggestion,Resolved,2023-08-06,1
117,117,2023-06-26,Suggestion,Resolved,2023-08-27,-1
118,118,2023-11-14,Suggestion,Pending,2023-09-15,1
119,119,2023-08-31,Complaint,Resolved,2023-09-06,1
120,120,2023-09-10,Suggestion,Resolved,2023-06-28,1
121,121,2023-01-18,Suggestion,Pending,2023-03-22,1
122,122,2023-01-19,Complaint,Resolved,2023-01-12,-1
123,123,2023-01-07,Praise,Resolved,2023-08-22,1
124,124,2023-05-31,Suggestion,Resolved,2023-01-18,1
125,125,2023-03-08,Praise,Pending,2023-09-19,1
126,126,2023-01-03,Praise,Resolved,2023-07-25,1
127,127,2023-11-05,Suggestion,Pending,2023-06-21,1
128,128,2023-01-29,Complaint,Pending,2023-01-07,1
129,129,2023-03-09,Praise,Resolved,2023-01-31,1
130,130,2023-02-10,Suggestion,Pending,2023-01-06,1
131,131,2023-07-02,Praise,Resolved,2023-12-22,1
132,132,2023-07-13,Complaint,Resolved,2023-04-21,-1
133,133,2023-09-13,Praise,Resolved,2023-02-23,1
134,134,2023-10-22,Complaint,Resolved,2023-03-30,1
135,135,2023-11-06,Suggestion,Resolved,2023-02-11,1
136,136,2023-12-28,Praise,Resolved,2023-03-26,1
137,137,2023-01-13,Complaint,Resolved,2023-09-18,1
138,138,2023-09-04,Praise,Pending,2023-04-01,1
139,139,2023-12-29,Praise,Resolved,2023-06-28,1
140,140,2023-10-19,Praise,Resolved,2023-06-12,1
141,141,2023-01-28,Praise,Resolved,2023-11-20,1
142,142,2023-10-18,Complaint,Resolved,2023-12-16,1
143,143,2023-07-29,Praise,Resolved,2023-02-25,1
144,144,2023-07-20,Suggestion,Resolved,2023-12-19,1
145,145,2023-04-27,Praise,Pending,2023-03-05,1
146,146,2023-09-15,Suggestion,Pending,2023-11-03,1
147,147,2023-04-22,Praise,Resolved,2023-06-04,1
148,148,2023-06-15,Suggestion,Resolved,2023-05-02,-1
149,149,2023-04-04,Praise,Pending,2023-07-25,1
150,150,2023-03-02,Praise,Pending,2023-11-05,1
151,151,2023-08-08,Praise,Resolved,2023-07-29,1
152,152,2023-08-08,Complaint,Pending,2023-08-22,1
153,153,2023-08-13,Suggestion,Pending,2023-07-29,1
154,154,2023-08-17,Suggestion,Resolved,2023-08-02,1
155,155,2023-12-13,Suggestion,Resolved,2023-11-20,1
156,156,2023-07-07,Suggestion,Pending,2023-01-20,1
157,157,2023-07-20,Complaint,Pending,2023-04-18,1
158,158,2023-12-05,Complaint,Pending,2023-07-27,1
159,159,2023-04-28,Complaint,Pending,2023-08-11,1
160,160,2023-08-26,Suggestion,Pending,2023-03-13,1
161,161,2023-06-23,Suggestion,Resolved,2023-01-20,1
162,162,2023-09-18,Suggestion,Resolved,2023-06-19,1
163,163,2023-07-07,Praise,Pending,2023-09-28,1
164,164,2023-12-09,Complaint,Resolved,2023-08-08,1
165,165,2023-06-29,Complaint,Resolved,2023-02-20,1
166,166,2023-11-24,Praise,Pending,2023-03-21,1
167,167,2023-06-15,Complaint,Pending,2023-11-24,1
168,168,2023-04-03,Complaint,Pending,2023-11-28,-1
169,169,2023-03-29,Suggestion,Pending,2023-08-01,-1
170,170,2023-04-05,Praise,Pending,2023-11-15,1
171,171,2023-08-15,Complaint,Resolved,2023-06-07,1
172,172,2023-05-28,Suggestion,Pending,2023-10-07,-1
173,173,2023-02-11,Praise,Resolved,,1
174,174,2023-04-06,Praise,Resolved,2023-07-11,1
175,175,2023-07-23,Complaint,Resolved,2023-06-13,1
176,176,2023-07-16,Suggestion,Resolved,2023-06-18,1
177,177,2023-06-17,Complaint,Pending,2023-08-13,1
178,178,2023-12-31,Praise,Pending,2023-10-27,1
179,179,2023-02-09,Praise,Resolved,2023-05-03,-1
180,180,2023-10-25,Praise,Pending,2023-11-05,1
181,181,2023-06-12,Suggestion,Pending,2023-03-31,1
182,182,2023-10-19,Suggestion,Resolved,2023-09-17,1
183,183,2023-05-01,Suggestion,Pending,2023-02-12,1
184,184,2023-11-26,Suggestion,Pending,2023-04-19,1
185,185,2023-08-09,Suggestion,Pending,2023-12-24,1
186,186,2023-08-16,Suggestion,Resolved,2023-10-10,1
187,187,2023-05-24,Complaint,Resolved,2023-03-07,1
188,188,2023-08-07,Suggestion,Pending,2023-07-26,1
189,189,2023-08-18,Suggestion,Resolved,2023-11-09,1
190,190,2023-05-01,Complaint,Pending,2023-10-20,1
191,191,2023-06-06,Praise,Pending,2023-12-24,1
192,192,2023-05-08,Praise,Resolved,2023-06-12,1
193,193,2023-12-20,Praise,Pending,2023-05-24,1
194,194,2023-05-19,Praise,Resolved,2023-05-17,1
195,195,2023-08-11,Suggestion,Pending,2023-11-28,1
196,196,2023-07-05,Suggestion,Resolved,2023-04-25,1
197,197,2023-10-21,Complaint,Pending,2023-04-13,1
198,198,2023-09-05,Praise,Resolved,,1
199,199,2023-02-24,Suggestion,Resolved,2023-12-20,1
200,200,2023-08-21,Complaint,Resolved,2023-09-27,1
201,201,2023-12-10,Suggestion,Pending,2023-12-07,1
202,202,2023-07-31,Suggestion,Resolved,2023-05-14,1
203,203,2023-11-17,Praise,Resolved,2023-06-16,-1
204,204,2023-12-01,Suggestion,Resolved,2023-10-03,1
205,205,2023-12-08,Suggestion,Resolved,2023-05-30,1
206,206,2023-12-24,Praise,Resolved,2023-04-14,1
207,207,2023-06-13,Praise,Resolved,2023-07-05,1
208,208,2023-10-14,Suggestion,Resolved,,1
209,209,2023-07-24,Praise,Pending,2023-09-08,1
