customer_id,loan_id,loan_amount,loan_type,interest_rate,loan_term,approval_rejection_date,loan_status
1,1,32200.06,mortgage,2.64,36,2021-05-11,Rejected
2,2,47743.52,auto,2.48,36,2020-07-30,Approved
3,3,47981.31,auto,7.84,24,2021-01-17,Closed
4,4,4482.8,personal,7.21,48,2022-02-15,Approved
5,5,1092.33,mortgage,5.37,12,2020-07-31,Approved
6,6,48039.24,mortgage,1.45,24,2020-11-14,Closed
7,7,27230.51,mortgage,5.25,24,2020-01-26,Approved
8,8,35319.63,mortgage,8.51,12,2020-10-21,Approved
9,9,45717.26,mortgage,1.1,60,2022-12-17,Approved
10,10,22224.58,auto,1.92,24,2021-09-11,Closed
11,11,22592.01,personal,8.28,60,2022-11-20,Rejected
12,12,9182.1,auto,5.73,48,2020-07-29,Approved
13,13,45385.59,auto,6.96,36,2021-09-20,Approved
14,14,32735.99,auto,7.71,48,2022-12-21,Approved
15,15,9833.19,mortgage,3.7,36,2022-12-06,Closed
16,16,28429.81,mortgage,3.68,24,2021-12-11,Approved
17,17,17080.03,auto,3.38,36,2022-12-15,Rejected
18,18,8211.92,auto,2.51,12,2022-02-23,Closed
19,19,9911.6,personal,3.74,12,2022-06-05,Rejected
20,20,28403.6,mortgage,9.58,48,2021-01-27,Closed
21,21,28654.88,personal,1.77,12,2020-07-26,Closed
22,22,39707.1,personal,3.17,48,2021-10-28,Rejected
23,23,13151.23,mortgage,3.86,60,2022-02-20,Closed
24,24,45875.84,personal,2.38,60,2022-03-07,Approved
25,25,26412.03,mortgage,1.7,48,2020-05-18,Rejected
26,26,11004.46,personal,2.46,48,2022-11-03,Approved
27,27,21250.75,personal,5.75,48,2021-04-19,Approved
28,28,46244.6,mortgage,6.37,36,2022-10-23,Approved
29,29,24429.67,auto,2.94,12,2022-02-20,Rejected
30,30,43861.04,auto,5.53,36,2022-02-23,Approved
31,31,8831.8,auto,1.06,36,2021-12-21,Approved
32,32,45783.96,auto,6.42,36,2022-05-15,Closed
33,33,22100.32,mortgage,1.01,60,2021-08-21,Closed
34,34,46870.22,personal,6.78,60,2020-09-02,Rejected
35,35,43437.85,mortgage,5.35,36,2022-03-10,Closed
36,36,33338.35,mortgage,1.98,24,2021-02-10,Rejected
37,37,33969.47,mortgage,1.8,36,2022-07-25,Rejected
38,38,11363.89,personal,1.06,24,2021-04-08,Rejected
39,39,30538.66,auto,5.96,24,2020-10-25,Rejected
40,40,27925.28,mortgage,8.26,12,2022-12-16,Rejected
41,41,17373.2,mortgage,8.71,48,2021-11-04,Rejected
42,42,25775.45,personal,6.12,36,2022-10-13,Closed
43,43,46528.03,personal,8.98,36,2020-02-20,Approved
44,44,1259.98,mortgage,8.76,36,2020-05-14,Approved
45,45,21439.08,personal,7.28,48,2022-09-26,Approved
46,46,17348.3,mortgage,4.27,24,2020-05-09,Closed
47,47,48100.32,mortgage,8.44,36,2021-11-05,Closed
48,48,48720.82,mortgage,4.53,36,2020-02-17,Rejected
49,49,29697.37,personal,4.63,48,2021-04-05,Approved
50,50,27950.34,auto,7.1,60,2022-12-26,Closed
51,51,45257.41,mortgage,9.35,48,2021-03-21,Rejected
52,52,1320.58,mortgage,5.5,48,2021-11-25,Approved
53,53,28551.75,mortgage,2.59,60,2020-08-23,Rejected
54,54,2206.99,mortgage,2.28,12,2020-12-12,Approved
55,55,48439.95,mortgage,3.72,48,2020-06-04,Approved
56,56,16687.82,auto,5.12,48,2022-12-25,Approved
57,57,26519.26,mortgage,3.68,36,2020-02-17,Closed
58,58,21460.86,personal,7.41,24,2021-02-23,Rejected
59,59,44787.58,auto,5.88,24,2022-09-28,Rejected
60,60,49991.08,mortgage,4.66,48,2021-03-29,Closed
61,61,4351.01,auto,2.92,24,2022-10-07,Approved
62,62,36869.53,mortgage,6.45,36,2021-04-06,Approved
63,63,19031.93,auto,7.07,48,2020-02-24,Approved
64,64,7814.57,mortgage,8.06,48,2021-01-07,Rejected
65,65,20866.44,personal,9.92,48,2020-03-02,Rejected
66,66,49909.18,mortgage,3.08,36,2021-12-10,Approved
67,67,18520.8,auto,1.14,24,2021-10-23,Approved
68,68,14592.57,personal,5.5,48,2021-05-06,Approved
69,69,42462.4,auto,9.32,60,2022-11-14,Approved
70,70,43528.96,auto,3.24,48,2021-03-10,Rejected
71,71,17604.59,mortgage,7.8,24,2022-04-25,Approved
72,72,15634.98,personal,3.88,12,2022-01-15,Approved
73,73,32716.79,mortgage,4.52,12,2021-03-17,Closed
74,74,11053.75,auto,9.53,12,2022-10-05,Rejected
75,75,24700.58,personal,5.15,60,2020-08-21,Rejected
76,76,7925.84,mortgage,7.53,12,2022-03-27,Rejected
77,77,15932.98,auto,5.95,36,2020-08-08,Rejected
78,78,15576.59,personal,7.88,36,2022-08-22,Closed
79,79,35050.1,mortgage,3.86,12,2022-05-05,Closed
80,80,14831.38,personal,8.89,12,2022-12-12,Approved
81,81,45026.29,personal,5.94,24,2020-09-14,Closed
82,82,49169.26,mortgage,3.78,36,2022-02-22,Approved
83,83,4972.02,auto,1.34,24,2021-02-24,Approved
84,84,20484.73,mortgage,1.12,24,2020-11-06,Closed
85,85,15790.21,mortgage,4.18,12,2022-12-14,Approved
86,86,18247.52,personal,2.94,24,2020-08-03,Rejected
87,87,14002.39,mortgage,1.47,12,2021-11-24,Approved
88,88,19750.58,personal,5.98,12,2020-09-08,Approved
89,89,7929.32,auto,9.9,48,2020-08-30,Approved
90,90,14711.1,personal,4.8,36,2020-08-19,Approved
91,91,37643.08,mortgage,5.97,60,2020-01-21,Approved
92,92,17858.28,mortgage,2.98,36,2021-07-20,Approved
93,93,11183.91,mortgage,2.84,60,2022-07-04,Approved
94,94,6313.76,auto,3.96,48,2022-09-04,Rejected
95,95,18052.2,mortgage,8.52,48,2021-06-18,Closed
96,96,32527.05,mortgage,9.65,36,2022-09-05,Rejected
97,97,13411.94,personal,7.66,48,2020-09-22,Approved
98,98,21699.84,mortgage,1.19,48,2022-10-18,Approved
99,99,47667.53,personal,4.95,12,2021-05-12,Rejected
100,100,28065.78,auto,4.79,48,2022-08-01,Rejected
101,101,27064.99,mortgage,9.42,24,2022-05-18,Approved
102,102,21087.22,auto,7.71,48,2020-02-03,Rejected
103,103,28285.16,mortgage,7.43,60,2021-03-20,Approved
104,104,49243.8,mortgage,6.08,36,2020-12-29,Approved
105,105,13436.54,mortgage,6.81,60,2020-03-04,Closed
106,106,47154.47,personal,7.29,12,2021-11-10,Rejected
107,107,8304.48,personal,5.97,48,2022-12-03,Approved
108,108,6444.16,personal,8.6,24,2020-04-20,Approved
109,109,33078.81,mortgage,1.33,12,2022-09-01,Closed
110,110,13307.77,mortgage,9.47,36,2022-07-06,Closed
111,111,22775.22,mortgage,7.96,48,2020-10-24,Approved
112,112,36753.08,personal,5.76,36,2021-06-02,Approved
113,113,27207.23,personal,8.74,12,2020-08-31,Closed
114,114,1673.72,auto,8.45,24,2022-06-14,Closed
115,115,15986.32,personal,4.77,36,2020-07-04,Rejected
116,116,4169.65,auto,8.56,48,2021-11-25,Closed
117,117,46379.61,auto,2.7,60,2022-03-28,Rejected
118,118,39937.78,personal,5.22,60,2021-11-16,Closed
119,119,49208.24,mortgage,3.09,36,2020-06-19,Rejected
120,120,44370.37,personal,2.12,24,2021-09-28,Closed
121,121,24291.27,auto,9.05,12,2021-03-08,Approved
122,122,44247.28,mortgage,4.3,48,2020-04-11,Approved
123,123,33949.49,personal,7.16,36,2022-05-19,Closed
124,124,26705.38,mortgage,4.38,48,2021-12-24,Closed
125,125,19161.66,auto,5.9,24,2021-11-09,Closed
126,126,34367.34,personal,4.13,60,2021-01-24,Approved
127,127,29916.54,mortgage,7.68,12,2020-03-19,Closed
128,128,31095.06,auto,8.08,60,2020-03-22,Approved
129,129,20591.74,personal,4.87,12,2020-08-22,Closed
130,130,37226.44,personal,8.74,60,2022-07-07,Closed
131,131,4985.8,mortgage,4.2,36,2020-08-08,Closed
132,132,36581.79,mortgage,7.86,24,2020-08-04,Approved
133,133,36807.3,mortgage,6.85,60,2021-12-24,Rejected
134,134,26281.23,personal,5.1,24,2020-04-13,Closed
135,135,13900.87,mortgage,9.0,60,2021-12-06,Approved
136,136,26444.55,mortgage,6.15,48,2022-03-26,Closed
137,137,7031.22,mortgage,8.56,60,2021-03-08,Approved
138,138,14972.04,personal,7.6,12,2021-11-12,Approved
139,139,21643.69,personal,5.79,48,2021-09-11,Rejected
140,140,33988.46,auto,3.94,36,2022-05-01,Closed
141,141,10173.62,personal,9.56,36,2021-12-01,Closed
142,142,8750.37,personal,1.51,36,2020-10-08,Approved
143,143,30782.02,mortgage,9.05,24,2020-02-28,Closed
144,144,34297.73,mortgage,5.56,36,2021-05-03,Approved
145,145,5099.13,personal,7.74,60,2020-08-02,Approved
146,146,2625.0,personal,4.01,48,2020-04-12,Approved
147,147,8210.34,mortgage,4.46,12,2021-10-11,Approved
148,148,45150.31,mortgage,2.72,36,2021-04-14,Approved
149,149,33959.29,mortgage,9.59,12,2020-10-08,Closed
150,150,46130.27,auto,1.39,24,2020-11-22,Approved
151,151,33571.03,mortgage,4.48,24,2021-03-20,Approved
152,152,48296.62,auto,4.01,12,2021-03-21,Approved
153,153,22506.43,personal,8.32,60,2022-01-30,Closed
154,154,30355.85,mortgage,5.51,12,2022-06-13,Approved
155,155,30458.09,auto,2.52,48,2021-03-03,Approved
156,156,1153.86,mortgage,5.58,36,2021-07-07,Approved
157,157,2345.27,mortgage,3.12,60,2022-08-28,Approved
158,158,8118.0,personal,1.15,12,2022-04-23,Approved
159,159,26045.35,auto,5.9,48,2021-02-23,Rejected
160,160,22095.8,auto,4.24,12,2022-06-24,Approved
161,161,27447.7,mortgage,3.15,36,2020-12-22,Closed
162,162,40224.05,personal,2.55,24,2022-01-18,Closed
163,163,41289.77,personal,5.08,12,2020-12-28,Rejected
164,164,48873.73,personal,8.83,48,2020-06-17,Rejected
165,165,28319.84,mortgage,7.82,12,2021-04-23,Rejected
166,166,18013.56,personal,1.04,36,2020-05-10,Closed
167,167,16093.36,personal,7.58,48,2021-09-23,Rejected
168,168,17696.34,personal,1.65,24,2021-07-13,Closed
169,169,16867.65,auto,5.93,36,2020-06-24,Approved
170,170,20253.08,personal,8.02,12,2022-12-08,Rejected
171,171,4669.19,personal,5.08,60,2021-02-26,Approved
172,172,32038.19,mortgage,4.39,12,2021-05-19,Approved
173,173,28834.02,auto,9.46,24,2022-02-01,Closed
174,174,23636.08,personal,1.26,12,2022-08-29,Closed
175,175,4974.16,personal,1.95,60,2021-07-23,Rejected
176,176,5567.23,auto,8.83,24,2020-05-23,Approved
177,177,27710.15,auto,8.98,24,2022-07-13,Rejected
178,178,2792.44,personal,4.35,12,2021-12-05,Approved
179,179,36514.66,auto,5.86,36,2021-08-26,Closed
180,180,49695.13,personal,2.48,24,2020-10-27,Approved
181,181,30272.94,auto,8.96,48,2022-05-15,Closed
182,182,36448.14,personal,5.22,24,2022-04-27,Rejected
183,183,22507.86,auto,6.08,48,2022-01-27,Rejected
184,184,33703.2,personal,2.06,36,2022-05-07,Closed
185,185,32937.24,auto,6.53,60,2020-10-04,Closed
186,186,41380.45,auto,7.26,48,2022-05-05,Rejected
187,187,35855.64,personal,3.65,48,2020-03-05,Approved
188,188,37703.43,mortgage,9.07,60,2022-06-16,Rejected
189,189,28275.16,auto,2.84,24,2022-02-23,Closed
190,190,24741.23,personal,9.08,48,2022-01-01,Closed
191,191,23477.11,mortgage,7.33,48,2022-10-09,Rejected
192,192,20208.54,mortgage,8.48,60,2022-09-16,Closed
193,193,14035.36,personal,7.29,24,2022-03-25,Rejected
194,194,2632.24,auto,4.86,12,2020-09-08,Rejected
195,195,33883.69,personal,3.98,48,2022-06-28,Closed
196,196,45147.1,auto,7.61,36,2020-06-05,Rejected
197,197,46593.64,mortgage,3.68,60,2022-02-08,Closed
198,198,29447.52,auto,1.56,48,2022-10-31,Rejected
199,199,5612.69,personal,3.22,24,2021-06-27,Approved
200,200,44054.55,personal,7.8,36,2022-01-20,Approved
201,201,37639.5,mortgage,8.14,12,2021-08-07,Closed
202,202,13319.14,personal,3.49,36,2022-09-30,Approved
203,203,40373.7,auto,3.95,48,2022-12-06,Closed
204,204,24128.39,personal,5.94,36,2022-02-15,Approved
205,205,44492.06,personal,3.36,12,2021-04-19,Rejected
206,206,13132.94,personal,6.46,24,2020-07-04,Approved
207,207,40244.39,auto,3.54,12,2022-01-07,Closed
208,208,35883.61,auto,2.09,12,2021-03-05,Rejected
209,209,1707.62,mortgage,2.39,60,2020-04-14,Approved
210,210,28603.4,auto,3.25,60,2022-01-04,Approved
211,211,36061.18,personal,2.51,12,2020-08-24,Rejected
212,212,8664.13,personal,9.77,36,2021-01-09,Closed
213,213,27063.05,auto,6.93,36,2021-04-17,Rejected
214,214,15899.82,auto,2.61,12,2020-05-29,Rejected
215,215,35116.39,mortgage,4.82,36,2022-04-05,Closed
216,216,27466.85,auto,3.42,24,2021-06-03,Approved
217,217,31451.44,mortgage,7.16,36,2022-06-25,Approved
218,218,4554.45,mortgage,8.81,36,2020-08-08,Rejected
219,219,7751.96,auto,4.61,12,2022-09-09,Closed
220,220,28052.37,mortgage,4.86,36,2022-11-09,Approved
221,221,9877.47,mortgage,4.59,36,2021-01-06,Approved
222,222,25435.87,personal,5.04,60,2020-06-24,Rejected
223,223,34811.44,personal,1.32,60,2020-02-15,Rejected
224,224,40678.81,personal,6.33,36,2020-05-03,Approved
225,225,8007.33,auto,9.57,36,2020-10-08,Closed
226,226,37352.06,personal,8.07,12,2020-01-16,Closed
227,227,18796.12,mortgage,8.75,24,2021-08-22,Rejected
228,228,34267.72,personal,3.06,60,2020-09-07,Approved
229,229,8118.95,personal,6.46,48,2022-12-16,Approved
230,230,26243.58,auto,9.04,36,2020-08-30,Rejected
231,231,42040.55,auto,1.62,48,2022-12-01,Approved
232,232,6215.14,auto,8.9,12,2021-07-19,Approved
233,233,41556.36,auto,1.58,48,2022-05-05,Rejected
234,234,23185.65,personal,9.85,24,2021-04-07,Closed
235,235,41340.31,mortgage,1.76,24,2020-02-21,Rejected
236,236,47961.0,mortgage,4.31,12,2020-08-27,Approved
237,237,8822.98,personal,1.49,60,2022-11-09,Rejected
238,238,34053.91,mortgage,1.51,36,2020-05-01,Rejected
239,239,12519.73,mortgage,8.8,48,2021-01-23,Approved
240,240,7642.16,personal,1.57,12,2020-10-22,Rejected
241,241,31776.05,auto,8.13,24,2020-03-15,Approved
242,242,6291.2,personal,9.16,24,2021-04-26,Approved
243,243,23793.46,auto,9.42,12,2022-04-04,Closed
244,244,32161.76,mortgage,8.78,12,2022-08-25,Rejected
245,245,25481.91,auto,9.6,12,2020-02-09,Approved
