customer_id,account_type,account_balance,date_of_account_opening,last_transaction_date,branch_id
1,SAVINGS,1313.38,5/26/2006,4/23/2023,43
2,Current,5988.46,3/2/2006,1/27/2023,63
3,Current,₹8277.88,7/19/2015,1/1/2023,82
4,Savings,7487.21,1/30/2008,8/2/2023,41
5,Savings,6993.55,5/25/2021,3/27/2023,9
6,SAVINGS,9295.64,12/21/2015,6/4/2023,20
7,Current,4005.72,7/7/2022,3/21/2023,21
8,Savings,1458.45,12/14/2022,3/1/2023,25
9,Current,1109.3,4/29/2012,11/5/2023,66
10,Current,9554.62,12/20/2021,2/5/2023,30
11,Savings,5930.75,8/12/2015,10/18/2023,72
12,Current,8126.85,9/13/2005,10/16/2023,25
13,Savings,5402.04,11/13/2010,11/21/2023,94
14,Savings,4045.09,8/14/2014,12/29/2023,30
15,Savings,2082.67,9/16/2015,6/24/2023,77
16,Savings,8578.44,10/2/2016,12/20/2023,31
17,Current,728.8,7/7/2006,12/18/2023,96
18,Savings,9012.31,8/12/2019,3/30/2023,36
19,Current,₹2129.63,8/18/2005,2/28/2023,41
20,Savings,₹194.36,4/24/2017,3/2/2023,61
21,Savings,1128.58,10/29/2016,8/30/2023,29
22,Current,8846.74,1/1/2005,10/10/2023,34
23,Savings,829.7,9/2/2011,8/13/2023,19
24,Savings,3616.88,10/7/2014,8/10/2023,90
25,Savings,2578.13,6/4/2004,3/31/2023,5
26,Current,464.86,10/1/2022,1/15/2023,20
27,Savings,5361.52,7/27/2006,12/31/2023,78
28,Savings,9983.5,8/10/2018,7/4/2023,29
29,Savings,8544.77,11/12/2000,7/23/2023,3
30,Current,1772.04,2/12/2015,2/10/2023,84
31,Current,8854.73,9/15/2004,6/20/2023,25
32,Current,4572.76,5/4/2010,9/25/2023,69
33,Current,2805.18,7/30/2003,7/15/2023,55
34,Savings,6439.03,8/23/2005,9/7/2023,56
35,Current,2245.28,1/5/2002,7/14/2023,29
36,Current,₹8808.55,7/8/2009,8/18/2023,41
37,Current,6279.42,7/28/2008,4/6/2023,2
38,Current,1446.62,5/16/2002,8/6/2023,6
39,Savings,₹5749.42,7/20/2008,1/4/2023,59
40,Savings,5152.67,1/13/2020,1/5/2023,65
41,Current,4767.41,8/13/2018,2/15/2023,31
42,Current,3713.26,10/29/2015,11/27/2023,91
43,Current,4794.63,6/23/2006,5/6/2023,46
44,Current,5901.51,3/21/2010,5/17/2023,60
45,Savings,7362.34,5/3/2001,5/16/2023,46
46,Savings,9186.97,6/2/2005,11/10/2023,19
47,Current,539.4,12/11/2005,12/25/2023,1
48,Current,5736.51,6/20/2012,11/15/2023,95
49,Current,7544.54,1/30/2021,7/8/2023,18
50,Current,1243.99,3/2/2022,5/23/2023,7
51,Current,9123.83,9/7/2021,3/14/2023,32
52,Current,2525.4,10/25/2015,6/27/2023,99
53,Current,8349.99,6/3/2020,12/16/2023,96
54,Savings,6653.87,5/28/2014,8/14/2023,59
55,Savings,5639.51,1/24/2013,10/5/2023,65
56,Savings,8705.5,5/17/2007,8/26/2023,97
57,Current,9695.42,11/30/2022,4/4/2023,12
58,Savings,9971.6,2/16/2021,11/26/2023,45
59,Current,6864.48,9/5/2012,7/16/2023,24
60,Current,3457.4,8/22/2004,3/5/2023,54
61,Current,8759.52,1/6/2009,5/30/2023,4
62,Savings,6578.05,6/25/2004,5/21/2023,79
63,Savings,3300.96,12/15/2007,8/19/2023,96
64,saving,9330.41,11/9/2012,9/2/2023,24
