customer_id,feedback_id,feedback_date,feedback_type,resolution_status,resolution_date,anomaly
1,1,10/6/2023,Suggestion,Resolved,1/22/2023,1
2,2,4/7/2023,Complaint,Resolved,8/27/2023,1
3,3,9/7/2023,Praise,Pending,5/11/2023,1
4,4,5/28/2023,Complaint,Resolved,7/5/2023,1
5,5,2/12/2023,Complaint,Resolved,11/21/2023,1
6,6,8/6/2023,Praise,Resolved,7/23/2023,1
7,7,8/20/2023,Complaint,Pending,7/31/2023,1
8,8,8/30/2023,Complaint,Pending,12/19/2023,1
9,9,2/10/2023,Suggestion,Pending,7/12/2023,-1
10,10,10/20/2023,Complaint,Resolved,4/30/2023,1
11,11,5/1/2023,Complaint,Pending,9/19/2023,1
12,12,8/24/2023,Complaint,Pending,5/3/2023,1
13,13,2/22/2023,Praise,Resolved,1/13/2023,1
14,14,11/16/2023,Praise,Resolved,5/5/2023,1
15,15,10/26/2023,Suggestion,Pending,9/23/2023,1
16,16,11/25/2023,Complaint,Pending,5/23/2023,1
17,17,5/31/2023,Suggestion,Pending,5/1/2023,1
18,18,2/23/2023,Praise,Resolved,6/3/2023,1
19,19,7/19/2023,Praise,Resolved,3/7/2023,1
20,20,4/22/2023,Praise,Pending,10/4/2023,1
21,21,11/20/2023,Complaint,Pending,9/7/2023,1
22,22,8/7/2023,Complaint,Pending,12/10/2023,-1
23,23,2/20/2023,Complaint,Resolved,10/4/2023,1
24,24,10/4/2023,Suggestion,Resolved,12/10/2023,1
25,25,1/22/2023,Praise,Resolved,3/1/2023,1
26,26,2/17/2023,Complaint,Pending,4/14/2023,1
27,27,12/15/2023,Suggestion,Pending,8/20/2023,1
28,28,12/21/2023,Complaint,Pending,2/23/2023,1
29,29,1/23/2023,Suggestion,Pending,6/10/2023,1
30,30,1/6/2023,Suggestion,Resolved,9/12/2023,1
31,31,5/12/2023,Praise,Pending,6/5/2023,1
32,32,8/16/2023,Praise,Resolved,8/25/2023,1
33,33,5/9/2023,Complaint,Resolved,7/25/2023,1
34,34,7/22/2023,Complaint,Resolved,2/11/2023,1
35,35,6/26/2023,Praise,Resolved,1/29/2023,1
36,36,1/17/2023,Complaint,Pending,11/14/2023,1
37,37,10/31/2023,Suggestion,Resolved,1/3/2023,1
38,38,2/26/2023,Praise,Resolved,6/3/2023,1
39,39,11/28/2023,Praise,Resolved,1/24/2023,1
40,40,4/29/2023,Praise,Resolved,1/14/2023,1
41,41,5/30/2023,Complaint,Pending,3/16/2023,1
42,42,5/24/2023,Complaint,Pending,3/9/2023,1
43,43,5/26/2023,Praise,Resolved,11/19/2023,1
44,44,11/14/2023,Complaint,Resolved,8/18/2023,1
45,45,12/28/2023,Praise,Resolved,7/6/2023,1
46,46,4/12/2023,Praise,Pending,8/31/2023,1
47,47,8/21/2023,Suggestion,Resolved,1/1/2023,1
48,48,12/29/2023,Suggestion,Resolved,7/25/2023,1
49,49,2/2/2023,Suggestion,Resolved,3/18/2023,1
50,50,10/4/2023,Praise,Resolved,2/4/2023,1
51,51,9/30/2023,Suggestion,Resolved,12/11/2023,-1
52,52,6/15/2023,Complaint,Pending,6/22/2023,1
53,53,4/14/2023,Praise,Pending,12/7/2023,1
54,54,11/17/2023,Praise,Resolved,,1
55,55,3/31/2023,Praise,Pending,10/10/2023,1
56,56,3/3/2023,Praise,Resolved,10/4/2023,1
57,57,11/12/2023,Suggestion,Resolved,,1
58,58,4/21/2023,Suggestion,Pending,12/4/2023,1
59,59,3/4/2023,Praise,Resolved,5/5/2023,1
60,60,4/8/2023,Praise,Resolved,12/16/2023,-1
61,61,10/11/2023,Praise,Resolved,1/2/2023,1
62,62,5/16/2023,Praise,Resolved,8/31/2023,1
63,63,12/25/2023,Praise,Pending,8/15/2023,-1
64,64,7/21/2023,Suggestion,Pending,1/30/2023,1
65,65,7/30/2023,Praise,Pending,12/3/2023,1
66,66,7/9/2023,Complaint,Resolved,2/21/2023,1
67,67,1/10/2023,Praise,Pending,4/25/2023,1
68,68,2/21/2023,Praise,Resolved,9/9/2023,-1
69,69,2/9/2023,Suggestion,Resolved,5/21/2023,1
70,70,11/26/2023,Complaint,Resolved,12/19/2023,1
71,71,3/2/2023,Suggestion,Resolved,5/23/2023,1
72,72,11/7/2023,Complaint,Resolved,9/6/2023,1
73,73,9/1/2023,Complaint,Resolved,5/3/2023,1
74,74,4/23/2023,Praise,Pending,7/22/2023,1
75,75,6/24/2023,Suggestion,Pending,5/19/2023,-1
76,76,10/11/2023,Suggestion,Resolved,,1
77,77,8/2/2023,Praise,Pending,5/29/2023,1
78,78,10/4/2023,Suggestion,Resolved,9/11/2023,1
79,79,4/15/2023,Praise,Resolved,8/22/2023,1
80,80,10/20/2023,Praise,Pending,6/16/2023,1
81,81,6/17/2023,Complaint,Resolved,12/16/2023,1
82,82,5/6/2023,Complaint,Resolved,4/4/2023,1
83,83,8/13/2023,Praise,Resolved,3/19/2023,1
84,84,10/30/2023,Complaint,Pending,7/11/2023,1
85,85,3/4/2023,Praise,Resolved,4/13/2023,1
86,86,8/23/2023,Suggestion,Resolved,3/18/2023,1
87,87,7/2/2023,Complaint,Pending,2/24/2023,1
88,88,7/7/2023,Complaint,Pending,3/19/2023,1
89,89,3/3/2023,Praise,Pending,2/19/2023,1
90,90,8/1/2023,Suggestion,Resolved,8/25/2023,1
91,91,2/24/2023,Complaint,Pending,4/8/2023,1
92,92,1/3/2023,Complaint,Pending,5/11/2023,1
93,93,9/29/2023,Praise,Pending,8/18/2023,1
94,94,2/22/2023,Suggestion,Resolved,,1
95,95,2/24/2023,Praise,Resolved,,1
96,96,11/12/2023,Complaint,Resolved,4/26/2023,1
97,97,2/24/2023,Suggestion,Resolved,7/25/2023,1
98,98,5/26/2023,Praise,Resolved,6/23/2023,1
99,99,9/17/2023,Suggestion,Pending,2/10/2023,1
100,100,8/22/2023,Praise,Resolved,3/31/2023,1
101,101,5/17/2023,Complaint,Pending,12/17/2023,1
102,102,1/7/2023,Praise,Resolved,,1
103,103,2/25/2023,Complaint,Pending,7/9/2023,1
104,104,7/7/2023,Complaint,Pending,4/28/2023,1
105,105,10/13/2023,Praise,Pending,6/5/2023,1
106,106,1/19/2023,Suggestion,Resolved,9/20/2023,1
107,107,2/27/2023,Complaint,Pending,2/11/2023,1
108,108,12/11/2023,Praise,Resolved,,1
109,109,4/11/2023,Suggestion,Pending,8/1/2023,1
110,110,4/29/2023,Suggestion,Pending,11/4/2023,1
111,111,5/4/2023,Suggestion,Pending,12/14/2023,1
112,112,10/9/2023,Praise,Pending,9/26/2023,1
113,113,8/18/2023,Praise,Pending,12/8/2023,1
114,114,10/18/2023,Suggestion,Resolved,4/14/2023,1
115,115,6/26/2023,Praise,Pending,10/28/2023,1
116,116,3/21/2023,Suggestion,Resolved,8/6/2023,1
117,117,6/26/2023,Suggestion,Resolved,8/27/2023,-1
118,118,11/14/2023,Suggestion,Pending,9/15/2023,1
119,119,8/31/2023,Complaint,Resolved,9/6/2023,1
120,120,9/10/2023,Suggestion,Resolved,6/28/2023,1
121,121,1/18/2023,Suggestion,Pending,3/22/2023,1
122,122,1/19/2023,Complaint,Resolved,1/12/2023,-1
123,123,1/7/2023,Praise,Resolved,8/22/2023,1
124,124,5/31/2023,Suggestion,Resolved,1/18/2023,1
125,125,3/8/2023,Praise,Pending,9/19/2023,1
126,126,1/3/2023,Praise,Resolved,7/25/2023,1
127,127,11/5/2023,Suggestion,Pending,6/21/2023,1
128,128,1/29/2023,Complaint,Pending,1/7/2023,1
129,129,3/9/2023,Praise,Resolved,1/31/2023,1
130,130,2/10/2023,Suggestion,Pending,1/6/2023,1
131,131,7/2/2023,Praise,Resolved,12/22/2023,1
132,132,7/13/2023,Complaint,Resolved,4/21/2023,-1
133,133,9/13/2023,Praise,Resolved,2/23/2023,1
134,134,10/22/2023,Complaint,Resolved,3/30/2023,1
135,135,11/6/2023,Suggestion,Resolved,2/11/2023,1
136,136,12/28/2023,Praise,Resolved,3/26/2023,1
137,137,1/13/2023,Complaint,Resolved,9/18/2023,1
138,138,9/4/2023,Praise,Pending,4/1/2023,1
139,139,12/29/2023,Praise,Resolved,6/28/2023,1
140,140,10/19/2023,Praise,Resolved,6/12/2023,1
141,141,1/28/2023,Praise,Resolved,11/20/2023,1
142,142,10/18/2023,Complaint,Resolved,12/16/2023,1
143,143,7/29/2023,Praise,Resolved,2/25/2023,1
144,144,7/20/2023,Suggestion,Resolved,12/19/2023,1
145,145,4/27/2023,Praise,Pending,3/5/2023,1
146,146,9/15/2023,Suggestion,Pending,11/3/2023,1
147,147,4/22/2023,Praise,Resolved,6/4/2023,1
148,148,6/15/2023,Suggestion,Resolved,5/2/2023,-1
149,149,4/4/2023,Praise,Pending,7/25/2023,1
150,150,3/2/2023,Praise,Pending,11/5/2023,1
151,151,8/8/2023,Praise,Resolved,7/29/2023,1
152,152,8/8/2023,Complaint,Pending,8/22/2023,1
153,153,8/13/2023,Suggestion,Pending,7/29/2023,1
154,154,8/17/2023,Suggestion,Resolved,8/2/2023,1
155,155,12/13/2023,Suggestion,Resolved,11/20/2023,1
156,156,7/7/2023,Suggestion,Pending,1/20/2023,1
157,157,7/20/2023,Complaint,Pending,4/18/2023,1
158,158,12/5/2023,Complaint,Pending,7/27/2023,1
159,159,4/28/2023,Complaint,Pending,8/11/2023,1
160,160,8/26/2023,Suggestion,Pending,3/13/2023,1
161,161,6/23/2023,Suggestion,Resolved,1/20/2023,1
162,162,9/18/2023,Suggestion,Resolved,6/19/2023,1
163,163,7/7/2023,Praise,Pending,9/28/2023,1
164,164,12/9/2023,Complaint,Resolved,8/8/2023,1
165,165,6/29/2023,Complaint,Resolved,2/20/2023,1
166,166,11/24/2023,Praise,Pending,3/21/2023,1
167,167,6/15/2023,Complaint,Pending,11/24/2023,1
168,168,4/3/2023,Complaint,Pending,11/28/2023,-1
169,169,3/29/2023,Suggestion,Pending,8/1/2023,-1
170,170,4/5/2023,Praise,Pending,11/15/2023,1
171,171,8/15/2023,Complaint,Resolved,6/7/2023,1
172,172,5/28/2023,Suggestion,Pending,10/7/2023,-1
173,173,2/11/2023,Praise,Resolved,,1
174,174,4/6/2023,Praise,Resolved,7/11/2023,1
175,175,7/23/2023,Complaint,Resolved,6/13/2023,1
176,176,7/16/2023,Suggestion,Resolved,6/18/2023,1
177,177,6/17/2023,Complaint,Pending,8/13/2023,1
178,178,12/31/2023,Praise,Pending,10/27/2023,1
179,179,2/9/2023,Praise,Resolved,5/3/2023,-1
180,180,10/25/2023,Praise,Pending,11/5/2023,1
181,181,6/12/2023,Suggestion,Pending,3/31/2023,1
182,182,10/19/2023,Suggestion,Resolved,9/17/2023,1
183,183,5/1/2023,Suggestion,Pending,2/12/2023,1
184,184,11/26/2023,Suggestion,Pending,4/19/2023,1
185,185,8/9/2023,Suggestion,Pending,12/24/2023,1
186,186,8/16/2023,Suggestion,Resolved,10/10/2023,1
187,187,5/24/2023,Complaint,Resolved,3/7/2023,1
188,188,8/7/2023,Suggestion,Pending,7/26/2023,1
189,189,8/18/2023,Suggestion,Resolved,11/9/2023,1
190,190,5/1/2023,Complaint,Pending,10/20/2023,1
191,191,6/6/2023,Praise,Pending,12/24/2023,1
192,192,5/8/2023,Praise,Resolved,6/12/2023,1
193,193,12/20/2023,Praise,Pending,5/24/2023,1
194,194,5/19/2023,Praise,Resolved,5/17/2023,1
