customer_id,loan_id,loan_amount,loan_type,interest_rate,loan_term,approval_rejection_date,loan_status
1,1,32200.06,Mortgage,2.64,36,5/11/2021,Rejected
2,2,47743.52,Auto,2.48,36,7/30/2020,Approved
3,3,47981.31,Auto,7.84,24,1/17/2021,Closed
4,4,4482.8,Personal,7.21,48,2/15/2022,Approved
5,5,1092.33,Mortgage,5.37,12,7/31/2020,Approved
6,6,48039.24,Mortgage,1.45,24,11/14/2020,Closed
7,7,27230.51,Mortgage,5.25,24,1/26/2020,Approved
8,8,35319.63,Mortgage,8.51,12,10/21/2020,Approved
9,9,45717.26,Mortgage,1.1,60,12/17/2022,APPROVED
10,10,22224.58,Auto,1.92,24,9/11/2021,Closed
11,11,22592.01,Personal,8.28,60,11/20/2022,Rejected
12,12,9182.1,Auto,5.73,48,7/29/2020,Approved
13,13,45385.59,Auto,6.96,36,9/20/2021,Approved
14,14,32735.99,Auto,7.71,48,12/21/2022,Approved
15,15,9833.19,Mortgage,3.7,36,12/6/2022,Closed
16,16,28429.81,Mortgage,3.68,24,12/11/2021,Approved
17,17,17080.03,Auto,3.38,36,12/15/2022,Rejected
18,18,8211.92,Auto,2.51,12,2/23/2022,Closed
19,19,9911.6,Personal,3.74,12,6/5/2022,Rejected
20,20,28403.6,Mortgage,9.58,48,1/27/2021,Closed
21,21,28654.88,Personal,1.77,12,7/26/2020,Closed
22,22,₹39707.1,Personal,3.17,48,10/28/2021,Rejected
23,23,13151.23,Mortgage,3.86,60,2/20/2022,Closed
24,24,45875.84,Personal,2.38,60,3/7/2022,APPROVED
25,25,26412.03,Mortgage,1.7,48,5/18/2020,Rejected
26,26,11004.46,Personal,2.46,48,11/3/2022,Approved
27,27,21250.75,Personal,5.75,48,4/19/2021,Approved
28,28,46244.6,Mortgage,6.37,36,10/23/2022,Approved
29,29,24429.67,Auto,2.94,12,2/20/2022,Rejected
30,30,₹43861.04,Auto,5.53,36,2/23/2022,APPROVED
31,31,8831.8,Auto,1.06,36,12/21/2021,Approved
32,32,45783.96,Auto,6.42,36,5/15/2022,Closed
33,33,22100.32,Mortgage,1.01,60,8/21/2021,Closed
34,34,46870.22,Personal,6.78,60,9/2/2020,Rejected
35,35,43437.85,Mortgage,5.35,36,3/10/2022,Closed
36,36,33338.35,Mortgage,1.98,24,2/10/2021,Rejected
37,37,33969.47,Mortgage,1.8,36,7/25/2022,Rejected
38,38,11363.89,Personal,1.06,24,4/8/2021,Rejected
39,39,30538.66,Auto,5.96,24,10/25/2020,Rejected
40,40,27925.28,Mortgage,8.26,12,12/16/2022,Rejected
41,41,17373.2,Mortgage,8.71,48,11/4/2021,Rejected
42,42,25775.45,Personal,6.12,36,10/13/2022,Closed
43,43,46528.03,Personal,8.98,36,2/20/2020,Approved
44,44,1259.98,Mortgage,8.76,36,5/14/2020,Approved
45,45,21439.08,Personal,7.28,48,9/26/2022,Approved
46,46,17348.3,Mortgage,4.27,24,5/9/2020,Closed
47,47,48100.32,Mortgage,8.44,36,11/5/2021,Closed
48,48,₹48720.82,Mortgage,4.53,36,2/17/2020,Rejected
49,49,29697.37,Personal,4.63,48,4/5/2021,Approved
50,50,27950.34,Auto,7.1,60,12/26/2022,Closed
51,51,45257.41,Mortgage,9.35,48,3/21/2021,Rejected
52,52,1320.58,Mortgage,5.5,48,11/25/2021,Approved
53,53,28551.75,Mortgage,2.59,60,8/23/2020,Rejected
54,54,₹2206.99,Mortgage,2.28,12,12/12/2020,Approved
