customer_id,transaction_id,transaction_date,transaction_type,transaction_amount,balance_after_transaction
1,1,12/7/2023,Withdrawal,1457.61,2770.99
2,2,4/27/2023,Deposit,1660.99,7649.45
3,3,4/5/2023,Deposit,839.91,7437.97
4,4,7/28/2023,Withdrawal,4908.89,12396.1
5,5,1/16/2023,Transfer,589.07,6404.48
6,6,4/21/2023,Withdrawal,4914.67,4380.97
7,7,11/22/2023,Deposit,3534.9,470.82
8,8,8/10/2023,Deposit,454.87,1003.58
9,9,9/28/2023,Withdrawal,768.56,340.74
10,10,12/29/2023,Deposit,1641.59,11196.21
11,11,6/8/2023,Withdrawal,1309.13,7239.88
12,12,4/4/2023,Deposit,4865.91,12992.76
13,13,12/2/2023,Deposit,3070.58,8472.62
14,14,10/27/2023,Transfer,381.21,4426.3
15,15,6/13/2023,Withdrawal,2631.77,-549.1
16,16,10/23/2023,Transfer,4486.73,13065.17
17,17,11/15/2023,Transfer,2086.75,2815.55
18,18,9/12/2023,Deposit,3333.99,5678.32
19,19,11/15/2023,Withdrawal,3868.23,-1738.6
20,20,9/30/2023,Deposit,933.29,-738.93
21,21,2/7/2023,Withdrawal,4278.95,-3150.37
22,22,7/1/2023,Transfer,2249.62,11096.36
23,23,7/6/2023,Deposit,292.88,536.82
24,24,1/25/2023,Deposit,4395.73,8012.61
25,25,11/29/2023,Transfer,2826.12,5404.25
26,26,5/22/2023,Transfer,999.63,1464.49
27,27,5/4/2023,Withdrawal,1594.08,3767.44
28,28,1/25/2023,Deposit,2851.17,12834.67
29,29,10/18/2023,Transfer,1877.13,6667.64
30,30,12/1/2023,DEP,1174.58,597.46
31,31,6/24/2023,DEP,2401.76,11256.49
32,32,8/20/2023,Transfer,933.38,5506.14
33,33,5/25/2023,Deposit,1234.44,1570.74
34,34,12/11/2023,Transfer,4135.4,10574.43
35,35,1/23/2023,Transfer,1150.42,3395.7
36,36,8/12/2023,Withdrawal,3479.88,12288.43
37,37,5/2/2023,Withdrawal,1259.84,5019.58
38,38,8/11/2023,Withdrawal,1069.87,2516.49
39,39,8/18/2023,Transfer,1263.27,4486.15
40,40,1/17/2023,Withdrawal,2346.81,2805.86
41,41,10/12/2023,Transfer,739.94,4027.47
42,42,1/2/2023,Transfer,542.0,3171.26
43,43,9/24/2023,Withdrawal,3786.14,1008.49
44,44,1/16/2023,Transfer,126.28,5775.23
45,45,12/3/2023,Withdrawal,1933.57,5428.77
46,46,1/21/2023,Transfer,1986.21,7200.76
47,47,9/8/2023,Transfer,4466.28,-3926.88
48,48,10/4/2023,Withdrawal,3874.71,9611.22
49,49,1/6/2023,Transfer,2558.28,10102.82
50,50,10/29/2023,DEP,2404.27,3648.26
51,51,8/25/2023,Withdrawal,2832.35,6291.48
52,52,1/23/2023,Deposit,1795.56,4320.96
53,53,11/10/2023,withdraw,3506.88,4843.11
54,54,7/4/2023,Deposit,3433.5,3220.37
55,55,8/12/2023,Transfer,2877.53,2761.98
56,56,2/8/2023,Deposit,297.89,8407.61
57,57,1/31/2023,Withdrawal,642.92,10338.34
58,58,1/2/2023,Transfer,205.99,9765.61
59,59,12/8/2023,Deposit,3595.39,3269.09
60,60,6/14/2023,Withdrawal,2393.22,1064.18
61,61,10/27/2023,Deposit,4775.36,13534.88
